Ownership_Type,Business_Major_Class,Business_Minor_Class,Description
S,0,0, FIXED PLACE OF BUSINESS BP99
P,0,0, FIXED PLACE OF BUSINESS BP99
C,0,0, FIXED PLACE OF BUSINESS BP99
S,1,2634, AGENT/BROKER - DURABLE BP50
S,1,2675, AGENT/BROKER - NONDURABLE BP51
S,1,5512, REAL ESTATE AGENTS AND MANAGERS BP9001
S,1,5520, REAL ESTATE AGENTS OR BROKERS BP653
S,1,5702, INSURANCE BROKERS BP64
S,1,5736, INSURANCE SERVICES (BROKERS) BP9001
S,1,5751," SECURITY AND COMMODITY BROKERS,DEALERS & INV SVCS BP60"
S,1,6064, SECURITY BROKERS BP62
S,1,6080, COMMODITY CONTRACT BROKERS & DEALERS & SEC EXCHGS BP622
S,1,6635, TRAVEL AGENTS AND TOUR OPERATORS BP70
S,1,7716," ADVERTISING, EXCEPT DIRECT MAIL BP73"
S,1,8888, UNABLE TO CLASSIFY BP99
P,1,5002, AGENT/BROKER FOR OTHER FIRMS WITH 1/2 OF SALE BP50
P,1,5102, AGENT/BROKER FOR OTHER FIRMS WITH 1/2 OF SALE BP51
P,1,6212, SECURITY UNDERWRITING SYNDICATES BP6289
P,1,6218, SECURITY BROKERS AND DEALERS BP621
P,1,6299, COMMODITY CONTRACTS BROKERS AND DEALERS BP622
P,1,6411, INSURANCE AGENTS/BROKERS & SERVICES BP64
P,1,6531, REAL ESTATE AGENTS/BROKERS AND MANAGERS BP653P 01 6635 TRAVEL AGENTS AND TOUR OPERATORS BP70
P,1,7310, ADVERTISING BP731
P,1,8888, UNABLE TO CLASSIFY BP99
C,1,5002, AGENT/BROKER - DURABLE BP50
C,1,5102, AGENT/BROKER - NONDURABLE BP51
C,1,6210," SECURITY BROKERS,DEALERS,FLOTATION COMPANIES BP62"
C,1,6299, COMMODITY CONTRACTS BROKERS AND DEALERS BP62
C,1,6411, INSURANCE BROKERS AND SERVICES BP64
C,1,6531, REAL ESTATE AGENTS/BROKERS AND MANAGERS BP65
C,1,6635, TRAVEL AGENTS AND TOUR OPERATORS BP70
C,1,7310, ADVERTISING BP731
C,1,8888, UNABLE TO CLASSIFY BP99
S,2,18, OPERATIVE BUILDERS BP153
S,2,34, RESIDENTIAL BUILDING BP152
S,2,59, NON-RESIDENTIAL BUILDING BP154
S,2,75, HIGHWAY AND STREET CONSTRUCTION BP161
S,2,232," PLUMBING, HEATING, AIR CONDITIONING BP171"
S,2,257, PAINTING AND PAPER HANGING BP172
S,2,273, ELECTRICAL WORK BP173
S,2,299," MASONRY, DRY WALL, STONE, TILE BP174"
S,2,414, CARPENTERING AND FLOORING BP175
S,2,430," ROOFING, SIDING, AND SHEET METAL RF176"
S,2,455, CONCRETE WORK BP177
S,2,471, WATER WELL DRILLING BP178
S,2,885," BLDG TRADE CONTRACTOR(EXCAVATION,GLAZING,ETC BP179"
S,2,3889," HEAVY CONSTR(PIPE LAYING,BRIDGE CONSTR,ETC) BP162"
S,2,8888, UNABLE TO CLASSIFY BP99
P,2,1510, GENERAL BUILDING CONTRACTORS BP15
P,2,1531, OPERATIVE BUILDERS BP153
P,2,1611, HIGHWAY AND STREET CONTRUCTION BP161
P,2,1620," HEAVY CONTRUCTION, EXCEPT HIGHWAY BP162"
P,2,1711," PLUMBING,HEATING,AND AIR CONDITIONING BP171"
P,2,1721," PAINTING,PAPERHANGING AND DECORATING BP172"
P,2,1731, ELECTRICAL WORK BP173
P,2,1740," MASONRY, DRYWALL, STONE, TILE BP174"
P,2,1750, CARPENTERING AND FLOORING BP175
P,2,1761," ROOFING,SIDING,AND SHEET METAL RF176"
P,2,1771, CONCRETE WORK BP177
P,2,1781, WATER WELL DRILLING BP178
P,2,1790," BLDG TRADE CONTR(EXCAVATION,GLAZING,ETC) BP179"
P,2,8888, UNABLE TO CLASSIFY BP99
